#name	taxonomy_id
Zig-zag eel	205130
Zebra mbuna	106582
Turkey	9103
Budgerigar	13146
Mongolian gerbil	10047
Golden Hamster	10036
Mouse Lemur	30608
Prairie vole	79684
Ocean sunfish	94237
Opossum	13616
Swamp eel	43700
Ryukyu mouse	10089
Mouse	10090
Mouse 129S1/SvImJ	10090
Mouse A/J	10090
Mouse AKR/J	10090
Mouse BALB/cJ	10090
Mouse C3H/HeJ	10090
Mouse C57BL/6NJ	10090
Mouse CAST/EiJ	10091
Mouse CBA/J	10090
Mouse DBA/2J	10090
Mouse FVB/NJ	10090
Mouse LP/J	10090
Mouse NOD/ShiLtJ	10090
Mouse NZO/HlLtJ	10090
Mouse PWK/PhJ	39442
Mouse WSB/EiJ	10092
Shrew mouse	10093
Steppe mouse	10103
Algerian mouse	10096
Ferret	9669
Microbat	59463
Upper Galilee mountains blind mole rat	1026970
Lyretail cichlid	32507
American mink	452646
Gibbon	61853
Wallaby	9315
Mainland tiger snake	8663
Chilean tinamou	30464
Helmeted guineafowl	8996
Pika	9978
Degu	10160
Tilapia	8128
Platypus	9258
Rabbit	9986
Japanese medaka HdrR	8090
Japanese medaka HNI	8090
Japanese medaka HSOK	8090
Indian medaka	30732
Bushbaby	30611
Sheep	9940
Bonobo	9597
Chimpanzee	9598
Leopard	9691
Tiger	74533
Olive baboon	9555
Indian glassy fish	210632
Paramormyrops kingsleyae	1676925
Great Tit	9157
Chinese softshell turtle	13735
Periophthalmus magnuspinnatus	409849
Northern American deer mouse	230844
Lamprey	7757
Koala	38626
Ugandan red Colobus	591936
Amazon molly	48698
Sailfin molly	48699
Shortfin molly	48701
Guppy	8081
Central bearded dragon	103695
Orangutan	9601
Hyrax	9813
Greater bamboo lemur	1328070
Coquerel's sifaka	379532
Megabat	132908
Makobe Island cichlid	303518
Red-bellied piranha	42514
Rat	10116
Black snub-nosed monkey	61621
Golden snub-nosed monkey	61622
Saccharomyces cerevisiae	4932
Bolivian squirrel monkey	39432
Argentine black and white tegu	96440
Tasmanian devil	9305
Asian bonytongue	113540
Turbot	52904
Common canary	9135
Greater amberjack	41447
Yellowtail amberjack	1841481
Shrew	42254
Daurian ground squirrel	99837
Tuatara	8508
Bicolor damselfish	144197
Pig	9823
Pig - Bamei	9823
Pig - Berkshire	9823
Pig - Hampshire	9823
Pig - Jinhua	9823
Pig - Landrace	9823
Pig - Largewhite	9823
Pig - Meishan	9823
Pig - Pietrain	9823
Pig - Rongchang	9823
Pig - Tibetan	9823
Pig USMARC	9823
Pig - Wuzhishan	9823
Zebra Finch	59729
Fugu	31033
Tetraodon	99883
Gelada	9565
Tree Shrew	37347
Dolphin	9739
Arctic ground squirrel	9999
American black bear	9643
Polar bear	29073
Alpaca	30538
Common wombat	29139
Red fox	9627
Tropical clawed frog	8364
Monterrey platyfish	32473
Platyfish	8083
White-throated sparrow	44394
Acyrthosiphon pisum	7029
Adineta vaga	104782
Aedes aegypti (LVP_AGWG)	7159
Aedes albopictus	7160
Amphimedon queenslandica	400682
Anopheles albimanus	7167
Anopheles arabiensis	7173
Anopheles atroparvus	41427
Anopheles christyi	43041
Anopheles coluzzii	1518534
Anopheles coluzzii (Ngousso)	1518534
Anopheles culicifacies	139723
Anopheles darlingi	43151
Anopheles dirus	7168
Anopheles epiroticus	199890
Anopheles farauti	69004
Anopheles funestus	62324
Anopheles gambiae	7165
Anopheles maculatus	74869
Anopheles melas	34690
Anopheles merus	30066
Anopheles minimus	112268
Anopheles quadriannulatus	34691
Anopheles sinensis	74873
Anopheles sinensis (China)	74873
Anopheles stephensi	30069
Anopheles stephensi (Indian)	30069
Anoplophora glabripennis	217634
Apis mellifera (DH4)	7460
Atta cephalotes	12957
Belgica antarctica	315563
Biomphalaria glabrata	6526
Bombus impatiens	132113
Bombus terrestris	30195
Bombyx mori	7091
Branchiostoma lanceolatum	7740
Brugia malayi	6279
Caenorhabditis brenneri	135651
Caenorhabditis briggsae	6238
Caenorhabditis elegans	6239
Caenorhabditis japonica	281687
Caenorhabditis remanei	31234
Capitella teleta	283909
Cimex lectularius	79782
Clytia hemisphaerica (Z4C2)	252671
Crassostrea gigas	29159
Culex quinquefasciatus	7176
Culicoides sonorensis	179676
Danaus plexippus	13037
Daphnia magna	35525
Daphnia pulex	6669
Dendroctonus ponderosae	77166
Dinothrombium tinctorium	1965070
Drosophila ananassae	7217
Drosophila erecta	7220
Drosophila grimshawi	7222
Drosophila melanogaster	7227
Drosophila mojavensis	7230
Drosophila persimilis	7234
Drosophila pseudoobscura	46245
Drosophila sechellia	7238
Drosophila simulans	7240
Drosophila virilis	7244
Drosophila willistoni	7260
Drosophila yakuba	7245
Folsomia candida str. VU population	158441
Glossina austeni	7395
Glossina brevipalpis	37001
Glossina fuscipes fuscipes	201502
Glossina morsitans	37546
Glossina pallidipes	7398
Glossina palpalis	67801
Heliconius melpomene	34740
Helobdella robusta	6412
Hofstenia miamia	442651
Ixodes scapularis	6945
Ixodes scapularis (ISE6)	6945
Lepeophtheirus salmonis	72036
Leptotrombidium deliense	299467
Lingula anatina	7574
Loa loa	7209
Lottia gigantea	225164
Lucilia cuprina	7375
Lutzomyia longipalpis	7200
Mayetiola destructor	39758
Megaselia scalaris	36166
Melitaea cinxia	113334
Mnemiopsis leidyi	27923
Musca domestica	7370
Nasonia vitripennis (AsymCx)	7425
Nematostella vectensis	45351
Octopus bimaculoides	37653
Onchocerca volvulus	6282
Orchesella cincta	48709
Pediculus humanus	121224
Phlebotomus papatasi	29031
Pristionchus pacificus	54126
Rhodnius prolixus	13249
Sarcoptes scabiei	52283
Schistosoma mansoni	6183
Solenopsis invicta	13686
Stegodyphus mimosarum	407821
Stomoxys calcitrans	35570
Strigamia maritima	126957
Strongylocentrotus purpuratus (Spur 01)	7668
Strongyloides ratti	34506
Teleopsis dalmanni	139649
Tetranychus urticae	32264
Thelohanellus kitauei	669202
Tigriopus californicus (San Diego)	6832
Tribolium castaneum	7070
Trichinella spiralis	6334
Trichoplax adhaerens	10228
Varroa destructor	109461
Zootermopsis nevadensis	136037
Actinidia chinensis	1590841
Aegilops tauschii	200361
Amborella trichopoda	13333
Ananas comosus	4615
Arabidopsis halleri	63677
Arabidopsis lyrata	81972
Arabidopsis thaliana	3702
Arabis alpina	50452
Beta vulgaris	3555
Brachypodium distachyon	15368
Brassica napus	3708
Brassica oleracea	109376
Brassica rapa	3711
Camelina sativa	90675
Cannabis sativa female	3483
Capsicum annuum	4072
Chara braunii	69332
Chlamydomonas reinhardtii	3055
Chondrus crispus	2769
Citrullus lanatus	3654
Citrus clementina	85681
Coffea canephora	49390
Corchorus capsularis	210143
Cucumis melo	3656
Cucumis sativus	3659
Cyanidioschyzon merolae	280699
Cynara cardunculus	59895
Daucus carota	79200
Dioscorea rotundata	55577
Eragrostis curvula	38414
Eragrostis tef	110835
Eutrema salsugineum	72664
Galdieria sulphuraria	130081
Glycine max	3847
Gossypium raimondii	29730
Helianthus annuus	4232
Hordeum vulgare	112509
Hordeum vulgare GoldenPromise	112509
Ipomoea triloba	35885
Kalanchoe fedtschenkoi	63787
Leersia perrieri	77586
Lupinus angustifolius	3871
Malus domestica Golden	3750
Manihot esculenta	3983
Marchantia polymorpha	3197
Medicago truncatula	3880
Musa acuminata	214687
Nicotiana attenuata	49451
Nymphaea colorata	210225
Olea europaea var. sylvestris	158386
Oryza barthii	65489
Oryza brachyantha	4533
Oryza glaberrima	4538
Oryza glumipatula	40148
Oryza sativa Indica Group	39946
Oryza longistaminata	4528
Oryza meridionalis	40149
Oryza nivara	4536
Oryza punctata	4537
Oryza rufipogon	4529
Oryza sativa Japonica Group	39947
Ostreococcus lucimarinus	436017
Panicum hallii FIL2	206008
Panicum hallii HAL2	1504633
Phaseolus vulgaris	3885
Physcomitrella patens	3218
Pistacia vera	55513
Populus trichocarpa	3694
Prunus avium	42229
Prunus_dulcis	3755
Prunus persica	3760
Quercus lobata	97700
Rosa chinensis	74649
Saccharum spontaneum	62335
Selaginella moellendorffii	88036
Setaria italica	4555
Setaria viridis	4556
Solanum lycopersicum	4081
Solanum tuberosum	4113
Sorghum bicolor	4558
Theobroma cacao Belizian Criollo B97-61/B2	3641
Theobroma cacao Matina 1-6	3641
Trifolium pratense	57577
Triticum aestivum	4565
Triticum aestivum Cadenza	4565
Triticum aestivum Claire	4565
Triticum aestivum Paragon	4565
Triticum aestivum Robigus	4565
Triticum aestivum Weebill	4565
Triticum dicoccoides	85692
Triticum turgidum	4567
Triticum urartu	4572
Vigna angularis	3914
Vigna radiata	3916
Vitis vinifera	29760
Zea mays	4577
[Candida] arabinofermentans NRRL YB-2248 (GCA_001661425)	983967
[Candida] auris str. 6684 (GCA_001189475)	498019
[Candida] auris (GCA_002759435)	498019
[Candida] auris (GCA_002775015)	498019
[Candida] auris (GCA_003013715)	498019
[Candida] auris (GCA_003014415)	498019
[Candida] duobushaemulonis str. B09383 (GCA_002926085)	1231522
[Candida] glabrata str. CBS138 (GCA_000002545)	5478
[Candida] glabrata (GCA_001466525)	5478
[Candida] glabrata (GCA_001466535)	5478
[Candida] glabrata (GCA_001466565)	5478
[Candida] glabrata (GCA_001466575)	5478
[Candida] glabrata (GCA_001466635)	5478
[Candida] glabrata (GCA_001466685)	5478
[Candida] glabrata (GCA_002219185)	5478
[Candida] glabrata (GCA_002219195)	5478
[Candida] haemulonis str. B11899 (GCA_002926055)	45357
[Candida] intermedia (GCA_900106115)	45354
[Candida] intermedia (GCA_900106125)	45354
[Candida] pseudohaemulonis str. B12108 (GCA_003013735)	418784
[Candida] tenuis ATCC 10573 (GCA_000223465)	590646
Absidia glauca	4829
Absidia repens str. NRRL 1336	90262
Acaromyces ingoldii str. MCA 4198 (GCA_003144295)	215250
Acidomyces richmondensis BFW (GCA_001592465)	766039
Acidomyces richmondensis (GCA_001572075)	245562
Acremonium chrysogenum ATCC 11550 (GCA_000769265)	857340
Agaricus bisporus var. burnettii JB137-S8 (GCA_000300555)	597362
Allomyces macrogynus ATCC 38327 (GCA_000151295)	578462
Alternaria alternata str. SRC1lrK2f (GCA_001642055)	5599
Amanita muscaria Koide BX008 (GCA_000827485)	946122
Amanita thiersii Skay4041 (GCA_002554575)	703135
Amorphotheca resinae ATCC 22711 (GCA_003019875)	857342
Amphiamblys sp. WSBS2006 (GCA_001875675)	1866961
Anaeromyces robustus str. S4 (GCA_002104895)	1754192
Anncaliia algerae PRA109 (GCA_000385855)	1240240
Anncaliia algerae PRA339 (GCA_000385875)	1288291
Anthracocystis flocculosa PF-1 (GCA_000417875)	1277687
Armillaria gallica str. Ar21-2 (GCA_002307695)	47427
Armillaria ostoyae (GCA_900157425)	47428
Armillaria solidipes str. 28-4 (GCA_002307675)	1076256
Arthrobotrys oligospora ATCC 24927 (GCA_000225545)	756982
Ascochyta rabiei str. ArDII (GCA_001630375)	5454
Ascoidea rubescens DSM 1968 (GCA_001661345)	1344418
Ascosphaera apis ARSEF 7405 (GCA_001636715)	392613
Ashbya gossypii	284811
Aspergillus aculeatinus CBS 121060 (GCA_003184765)	1448322
Aspergillus aculeatus ATCC 16872 (GCA_001890905)	690307
Aspergillus arachidicola str. CBS 117610 (GCA_002749805)	656916
Aspergillus bombycis str. NRRL26010 (GCA_001792695)	109264
Aspergillus brasiliensis CBS 101740 (GCA_001889945)	767769
Aspergillus brunneoviolaceus CBS 621.78 (GCA_003184695)	1450534
Aspergillus calidoustus str. SF006504 (GCA_001511075)	454130
Aspergillus campestris IBT 28561 (GCA_002847485)	1392248
Aspergillus candidus str. CBS 102.13 (GCA_002847045)	41067
Aspergillus carbonarius ITEM 5010 (GCA_001990825)	602072
Aspergillus clavatus NRRL 1	344612
Aspergillus cristatus str. GZAAS20.1005 (GCA_001717485)	573508
Aspergillus ellipticus CBS 707.79 (GCA_003184645)	1448320
Aspergillus eucalypticola CBS 122712 (GCA_003184535)	1448314
Aspergillus flavus NRRL3357	332952
Aspergillus flavus AF70 (GCA_000952835)	1392242
Aspergillus fumigatus Af293	330879
Aspergillus fumigatus (GCA_002234985)	746128
Aspergillus fumigatus var. RP-2014 (GCA_000731615)	1476192
Aspergillus fumigatus Z5 (GCA_001029325)	1437362
Aspergillus fumigatus A1163	451804
Aspergillus glaucus CBS 516.65 (GCA_001890805)	1160497
Aspergillus heteromorphus CBS 117.55 (GCA_003184545)	1448321
Aspergillus indologenus CBS 114.80 (GCA_003184685)	1450541
Aspergillus japonicus CBS 114.51 (GCA_003184785)	1448312
Aspergillus lacticoffeatus CBS 101883 (GCA_003184595)	1450533
Aspergillus lentulus (GCA_001445615)	293939
Aspergillus luchuensis CBS 106.47 (GCA_001890685)	1137211
Aspergillus luchuensis str. RIB 2604 (GCA_001602395)	1069201
Aspergillus neoniger CBS 115656 (GCA_003184625)	1448310
Aspergillus nidulans	227321
Aspergillus nidulans FGSC A4 (GCA_000149205)	227321
Aspergillus niger	5061
Aspergillus niger ATCC 1015 (GCA_000230395)	380704
Aspergillus niger (GCA_001515345)	5061
Aspergillus niger (GCA_900248155)	5061
Aspergillus nomius NRRL 13137 (GCA_001204775)	1509407
Aspergillus novofumigatus IBT 16806 (GCA_002847465)	1392255
Aspergillus ochraceoroseus str. SRRC1432 (GCA_000986665)	138278
Aspergillus ochraceoroseus IBT 24754 (GCA_002846915)	1392256
Aspergillus oryzae RIB40	510516
Aspergillus oryzae 100-8 (GCA_000691885)	1197718
Aspergillus oryzae 3.042 (GCA_000269785)	1160506
Aspergillus oryzae str. BCC7051 (GCA_002007945)	5062
Aspergillus parasiticus SU-1 (GCA_000956085)	1403190
Aspergillus piperis CBS 112811 (GCA_003184755)	1448313
Aspergillus rambellii str. SRRC1468 (GCA_000986645)	308745
Aspergillus ruber CBS 135680 (GCA_000600275)	1388766
Aspergillus saccharolyticus JOP 1030-1 (GCA_003184585)	1450539
Aspergillus sclerotiicarbonarius CBS 121057 (GCA_003184635)	1448318
Aspergillus sclerotioniger CBS 115572 (GCA_003184525)	1450535
Aspergillus steynii IBT 23096 (GCA_002849105)	1392250
Aspergillus sydowii CBS 593.65 (GCA_001890705)	1036612
Aspergillus taichungensis str. IBT 19404 (GCA_002850765)	482145
Aspergillus terreus NIH2624	341663
Aspergillus thermomutatus (GCA_002237265)	41047
Aspergillus tubingensis CBS 134.48 (GCA_001890745)	767770
Aspergillus turcosus (GCA_002234965)	1245748
Aspergillus turcosus (GCA_002234975)	1245748
Aspergillus udagawae str. IFM 46973 (GCA_001078395)	91492
Aspergillus ustus str. 3.3904 (GCA_000812125)	40382
Aspergillus uvarum CBS 121591 (GCA_003184745)	1448315
Aspergillus vadensis CBS 113365 (GCA_003184925)	1448311
Aspergillus versicolor CBS 583.65 (GCA_001890125)	1036611
Aspergillus violaceofuscus CBS 115571 (GCA_003184705)	1450538
Aspergillus wentii DTO 134E9 (GCA_001890725)	1073089
Aureobasidium melanogenum CBS 110374 (GCA_000721775)	1043003
Aureobasidium namibiae CBS 147.97 (GCA_000721765)	1043004
Aureobasidium pullulans EXF-150 (GCA_000721785)	1043002
Aureobasidium pullulans (GCA_001678115)	5580
Aureobasidium subglaciale EXF-2481 (GCA_000721755)	1043005
Babjeviella inositovora NRRL Y-12698 (GCA_001661335)	984486
Basidiobolus meristosporus CBS 931.73 (GCA_002104905)	1314790
Batrachochytrium dendrobatidis JAM81 (GCA_000203795)	684364
Batrachochytrium dendrobatidis JEL423 (GCA_000149865)	403673
Batrachochytrium salamandrivorans str. BS (GCA_002006685)	1357716
Baudoinia panamericana UAMH 10762 (GCA_000338955)	717646
Beauveria bassiana	176275
Beauveria bassiana ARSEF 2860 (GCA_000280675)	655819
Beauveria bassiana D1-5 (GCA_000770705)	1245745
Beauveria bassiana str. JEF-007 (GCA_002871155)	176275
Bifiguratus adelaidae str. AZ0501	1938954
Bipolaris maydis ATCC 48331 (GCA_000354255)	665024
Bipolaris maydis C5 (GCA_000338975)	701091
Bipolaris oryzae ATCC 44560 (GCA_000523455)	930090
Bipolaris sorokiniana ND90Pr (GCA_000338995)	665912
Bipolaris victoriae FI3 (GCA_000527765)	930091
Bipolaris zeicola 26-R-13 (GCA_000523435)	930089
Blastomyces dermatitidis ATCC 18188 (GCA_000151595)	653446
Blastomyces dermatitidis ATCC 26199 (GCA_000166155)	447095
Blastomyces dermatitidis ER-3 (GCA_000003525)	559297
Blastomyces gilchristii SLH14081 (GCA_000003855)	559298
Blastomyces percursus str. EI222 (GCA_001883805)	1658174
Blumeria graminis	546991
Blumeria graminis f. sp. tritici 96224 (GCA_000418435)	1268274
Botryobasidium botryosum FD-172 SS1 (GCA_000697705)	930990
Botrytis cinerea B05.10	332648
Botrytis cinerea BcDW1 (GCA_000349525)	1290391
Botrytis cinerea T4 (GCA_000227075)	999810
Brettanomyces bruxellensis AWRI1499 (GCA_000259595)	1124627
Byssochlamys spectabilis No. 5 str. Paecilomyces variotii No. 5 (NBRC109023) (GCA_000497085)	1356009
Cadophora sp. DSE1049 (GCA_003073865)	1485229
Calocera cornea HHB12733 (GCA_001632435)	1353952
Calocera viscosa TUFC12733 (GCA_001630345)	1330018
Candida albicans 12C (GCA_000773845)	1094981
Candida albicans 19F (GCA_000775445)	1094987
Candida albicans Ca6 (GCA_000784695)	1165368
Candida albicans GC75 (GCA_000773735)	1094988
Candida albicans L26 (GCA_000775455)	1094982
Candida albicans P34048 (GCA_000775465)	1094991
Candida albicans P37005 (GCA_000773745)	1094985
Candida albicans P37037 (GCA_000773825)	1094992
Candida albicans P37039 (GCA_000784515)	1094993
Candida albicans P57055 (GCA_000775505)	1094996
Candida albicans P57072 (GCA_000773805)	1094990
Candida albicans P60002 (GCA_000784525)	1094986
Candida albicans P75010 (GCA_000784575)	1094994
Candida albicans P75016 (GCA_000784595)	1094995
Candida albicans P75063 (GCA_000775525)	1094997
Candida albicans P76055 (GCA_000784505)	1094998
Candida albicans P76067 (GCA_000784495)	1094999
Candida albicans P78042 (GCA_000784615)	1095000
Candida albicans P78048 (GCA_000773725)	1094989
Candida albicans P87 (GCA_000774085)	1094984
Candida albicans P94015 (GCA_000773755)	1094983
Candida albicans SC5314 (GCA_000784635)	237561
Candida albicans SC5314 (GCA_000784655)	237561
Candida albicans WO-1 (GCA_000149445)	294748
Candida dubliniensis CD36 (GCA_000026945)	573826
Candida maltosa Xu316 (GCA_000344705)	1245528
Candida orthopsilosis Co 90-125 (GCA_000315875)	1136231
Candida parapsilosis str. CDC317 (GCA_000182765)	5480
Candida tropicalis MYA-3404 (GCA_000006335)	294747
Capronia coronata CBS 617.96 (GCA_000585585)	1182541
Capronia epimyces CBS 606.96 (GCA_000585565)	1182542
Catenaria anguillulae PL171 (GCA_002102555)	765915
Ceraceosorus bombacis (GCA_900000165)	401625
Ceraceosorus guamensis str. MCA 4658 (GCA_003144195)	1522189
Ceratocystis platani str. CFO (GCA_000978885)	88771
Cercospora berteroae (GCA_002933655)	357750
Cercospora beticola (GCA_002742065)	122368
Cercospora zeina str. CMW25467 (GCA_002844615)	348901
Chaetomium globosum CBS 148.51 (GCA_000143365)	306901
Chaetomium thermophilum var. thermophilum DSM 1495 (GCA_000221225)	759272
Choanephora cucurbitarum str. KUS-F28377 (GCA_001683725)	101091
Cladophialophora bantiana CBS 173.52 (GCA_000835475)	1442370
Cladophialophora carrionii CBS 160.54 (GCA_000365165)	1279043
Cladophialophora carrionii str. KSF (GCA_001700775)	86049
Cladophialophora immunda str. CBS 83496 (GCA_000835495)	569365
Cladophialophora psammophila CBS 110553 (GCA_000585535)	1182543
Cladophialophora yegresii CBS 114405 (GCA_000585515)	1182544
Claviceps purpurea 20.1 (GCA_000347355)	1111077
Clavispora lusitaniae ATCC 42720 (GCA_000003835)	306902
Clavispora lusitaniae str. CBS 6936 (GCA_001673695)	36911
Clohesyomyces aquaticus str. CBS 115471 (GCA_002105025)	1231657
Coccidioides immitis H538.4 (GCA_000149815)	396776
Coccidioides immitis RMSCC 2394 (GCA_000149895)	404692
Coccidioides immitis RMSCC 3703 (GCA_000150085)	454286
Coccidioides immitis RS (GCA_000149335)	246410
Coccidioides posadasii C735 delta SOWgp (GCA_000151335)	222929
Coccidioides posadasii RMSCC 3488 (GCA_000150055)	454284
Coccidioides posadasii str. Silveira (GCA_000170175)	443226
Colletotrichum chlorophyti str. NTL11 (GCA_001937105)	708187
Colletotrichum fioriniae PJ7 (GCA_000582985)	1445577
Colletotrichum gloeosporioides	1213859
Colletotrichum gloeosporioides Cg-14 (GCA_000446055)	1237896
Colletotrichum graminicola	645133
Colletotrichum higginsianum	80884
Colletotrichum higginsianum IMI 349063 (GCA_001672515)	759273
Colletotrichum incanum str. MAFF 238704 (GCA_001625285)	1573173
Colletotrichum incanum str. MAFF238712 (GCA_001855235)	1573173
Colletotrichum nymphaeae SA-01 (GCA_001563115)	1460502
Colletotrichum orbiculare	1213857
Colletotrichum orchidophilum str. IMI 309357 (GCA_001831195)	1209926
Colletotrichum salicis str. CBS 607.94 (GCA_001563125)	1209931
Colletotrichum simmondsii str. CBS122122 (GCA_001563135)	703756
Colletotrichum sublineola str. TX430BB (GCA_000696135)	1173701
Colletotrichum tofieldiae str. 0861 (GCA_001625265)	708197
Conidiobolus coronatus NRRL 28638 (GCA_001566745)	796925
Coniella lustricola str. B22-T-1 (GCA_003019895)	2025994
Coniochaeta ligniaria NRRL 30616 (GCA_001879275)	1408157
Coniophora puteana RWD-64-598 SS2 (GCA_000271625)	741705
Coniosporium apollinis CBS 100218 str. CBS 352.97 (GCA_000281105)	1168221
Coprinopsis cinerea okayama7#130 (GCA_000182895)	240176
Cordyceps brongniartii RCEF 3172 (GCA_001636735)	1081107
Cordyceps confragosa str. UM487 (GCA_001653215)	1105325
Cordyceps confragosa RCEF 1005 (GCA_001636795)	1081108
Cordyceps fumosorosea ARSEF 2679 (GCA_001636725)	1081104
Cordyceps militaris CM01 (GCA_000225605)	983644
Cordyceps sp. RAO-2017 (GCA_002591385)	2004951
Corynespora cassiicola Philippines (GCA_003016335)	1448308
Cryptococcus amylolentus CBS 6039 (GCA_001720205)	1295533
Cryptococcus amylolentus CBS 6273 (GCA_001720235)	1296118
Cryptococcus depauperatus CBS 7841 (GCA_001720195)	1295531
Cryptococcus depauperatus CBS 7855 (GCA_001720245)	1295532
Cryptococcus gattii CA1280 (GCA_000836335)	1296109
Cryptococcus gattii CA1873 (GCA_000855695)	1296111
Cryptococcus gattii E566 (GCA_000875815)	1296102
Cryptococcus gattii EJB2 (GCA_000835745)	1296103
Cryptococcus gattii NT-10 (GCA_000935105)	1296108
Cryptococcus gattii Ru294 (GCA_000836355)	1296112
Cryptococcus gattii VGII 2001/935-1 (GCA_000835815)	1334442
Cryptococcus gattii VGII 99/473 (GCA_000836455)	1296104
Cryptococcus gattii VGII CA1014 (GCA_000875795)	1296107
Cryptococcus gattii VGII CBS 10090 (GCA_000835765)	1296101
Cryptococcus gattii VGII LA55 (GCA_000836315)	1296106
Cryptococcus gattii VGII MMRL2647 (GCA_000875855)	1296117
Cryptococcus gattii VGII R265 (GCA_000149475)	294750
Cryptococcus gattii VGII Ram5 (GCA_000836375)	1296110
Cryptococcus gattii VGIV IND107 (GCA_000835755)	1296105
Cryptococcus gattii WM276 (GCA_000185945)	367775
Cryptococcus neoformans var. neoformans JEC21	214684
Cryptococcus neoformans var. grubii 125.91 (GCA_002215885)	1230079
Cryptococcus neoformans var. grubii A1-35-8 (GCA_002221985)	1230081
Cryptococcus neoformans var. grubii A2-102-5 (GCA_002222375)	1230057
Cryptococcus neoformans var. grubii A5-35-17 (GCA_002222215)	1230080
Cryptococcus neoformans var. grubii AD1-7a (GCA_002220445)	1230056
Cryptococcus neoformans var. grubii AD1-83a (GCA_002215765)	1230065
Cryptococcus neoformans var. grubii AD2-60a (GCA_002215775)	1230059
Cryptococcus neoformans var. grubii Br795 (GCA_002222225)	1230061
Cryptococcus neoformans var. grubii Bt120 (GCA_002222465)	1230070
Cryptococcus neoformans var. grubii Bt15 (GCA_002222335)	1230071
Cryptococcus neoformans var. grubii Bt1 (GCA_002215705)	1230073
Cryptococcus neoformans var. grubii Bt63 (GCA_002234625)	1230075
Cryptococcus neoformans var. grubii Bt85 (GCA_002215835)	1230076
Cryptococcus neoformans var. grubii C23 (GCA_002215825)	1230055
Cryptococcus neoformans var. grubii c45 (GCA_002215855)	1230068
Cryptococcus neoformans var. grubii c8 (GCA_002222405)	1230063
Cryptococcus neoformans var. grubii CHC193 (GCA_002222295)	1230064
Cryptococcus neoformans var. grubii D17-1 (GCA_002222255)	1230058
Cryptococcus neoformans var. grubii Gb118 (GCA_002224005)	1230060
Cryptococcus neoformans var. grubii str. V2 (GCA_002215755)	178876
Cryptococcus neoformans var. grubii str. KN99 (GCA_002216725)	178876
Cryptococcus neoformans var. grubii str. CCTP51 (GCA_002217545)	178876
Cryptococcus neoformans var. grubii str. WM-1408 (GCA_002220045)	178876
Cryptococcus neoformans var. grubii str. RCT54 (GCA_002222015)	178876
Cryptococcus neoformans var. grubii str. CM64 (GCA_002222025)	178876
Cryptococcus neoformans var. grubii str. RCT6 (GCA_002222095)	178876
Cryptococcus neoformans var. grubii str. CM20 (GCA_002222115)	178876
Cryptococcus neoformans var. grubii str. CM50 (GCA_002222135)	178876
Cryptococcus neoformans var. grubii str. CM24 (GCA_002222145)	178876
Cryptococcus neoformans var. grubii str. RCT21 (GCA_002222155)	178876
Cryptococcus neoformans var. grubii str. CM52 (GCA_002222165)	178876
